cell_id,cell_type,batch,split
D29-1_20,alpha,celseq2,train
human3_lib2.final_cell_0442,alpha,inDrop3,train
D31-6_92,beta,celseq2,train
1st-C80_S38,alpha,fluidigmc1,train
2nd-C86_S77,beta,fluidigmc1,validation
Sample_593,delta,smarter,train
D28-6_62,acinar,celseq2,train
Sample_1276,alpha,smarter,test
human3_lib3.final_cell_0185,beta,inDrop3,train
Sample_1083,alpha,smarter,train
human2_lib2.final_cell_0426,gamma,inDrop2,train
human1_lib3.final_cell_0511,endothelial,inDrop1,validation
HP1525301T2D_O1,alpha,smartseq2,train
human2_lib1.final_cell_0260,beta,inDrop2,train
HP1509101_D19,alpha,smartseq2,train
D30-1_66,delta,celseq2,train
Sample_869,beta,smarter,train
8th-C26_S126,alpha,fluidigmc1,train
Sample_91,beta,smarter,train
human1_lib2.final_cell_0170,beta,inDrop1,train
human3_lib3.final_cell_0891,alpha,inDrop3,train
human1_lib3.final_cell_0724,beta,inDrop1,train
human3_lib2.final_cell_0528,ductal,inDrop3,train
human3_lib4.final_cell_0058,beta,inDrop3,train
human3_lib4.final_cell_0646,alpha,inDrop3,train
human3_lib4.final_cell_0503,alpha,inDrop3,train
human2_lib3.final_cell_0560,beta,inDrop2,train
human3_lib1.final_cell_0275,beta,inDrop3,train
D31-8_9,alpha,celseq2,validation
HP1504101T2D_D24,gamma,smartseq2,test
human3_lib4.final_cell_0260,alpha,inDrop3,train
human1_lib2.final_cell_0013,delta,inDrop1,validation
human3_lib1.final_cell_0400,ductal,inDrop3,train
4th-C86_S77,alpha,fluidigmc1,test
HP1504901_B11,beta,smartseq2,train
human3_lib2.final_cell_0853,beta,inDrop3,validation
human3_lib3.final_cell_0712,acinar,inDrop3,validation
human1_lib2.final_cell_0346,quiescent_stellate,inDrop1,test
D2ex_55,ductal,celseq,train
D71_15,beta,celseq,test
HP1525301T2D_O9,activated_stellate,smartseq2,train
Sample_312,alpha,smarter,test
human2_lib2.final_cell_0280,ductal,inDrop2,test
Sample_568,alpha,smarter,validation
human3_lib1.final_cell_0533,beta,inDrop3,train
Sample_641,gamma,smarter,train
human4_lib1.final_cell_0292,beta,inDrop4,train
Sample_1600,gamma,smarter,train
human3_lib2.final_cell_0427,alpha,inDrop3,test
human3_lib1.final_cell_0365,activated_stellate,inDrop3,train
human3_lib4.final_cell_0372,alpha,inDrop3,train
human2_lib1.final_cell_0489,alpha,inDrop2,test
D30-3_65,alpha,celseq2,train
11th-C21_S4,beta,fluidigmc1,train
HP1502401_N4,alpha,smartseq2,validation
Sample_524,alpha,smarter,train
D29-3_38,alpha,celseq2,test
Sample_18,beta,smarter,validation
D17All2_25,beta,celseq,train
human2_lib3.final_cell_0421,endothelial,inDrop2,train
human1_lib3.final_cell_0465,alpha,inDrop1,train
D17All2_46,gamma,celseq,test
Sample_1043,alpha,smarter,train
human2_lib3.final_cell_0336,alpha,inDrop2,train
D30-3_68,alpha,celseq2,train
human1_lib1.final_cell_0313,gamma,inDrop1,train
human3_lib4.final_cell_0749,alpha,inDrop3,train
HP1508501T2D_O1,alpha,smartseq2,train
Sample_826,beta,smarter,validation
human2_lib2.final_cell_0257,alpha,inDrop2,train
HP1525301T2D_I23,ductal,smartseq2,validation
human3_lib2.final_cell_0401,alpha,inDrop3,test
human4_lib3.final_cell_0228,beta,inDrop4,train
human2_lib1.final_cell_0530,beta,inDrop2,train
human3_lib4.final_cell_0344,beta,inDrop3,train
human3_lib3.final_cell_0093,beta,inDrop3,train
human4_lib1.final_cell_0285,ductal,inDrop4,train
human1_lib2.final_cell_0344,beta,inDrop1,validation
human2_lib1.final_cell_0308,alpha,inDrop2,test
Sample_438,alpha,smarter,train
human4_lib3.final_cell_0537,alpha,inDrop4,validation
D2ex_25,ductal,celseq,train
human3_lib1.final_cell_0449,beta,inDrop3,test
human3_lib2.final_cell_0351,beta,inDrop3,train
human2_lib2.final_cell_0058,beta,inDrop2,test
D30-6_64,ductal,celseq2,train
Sample_596,delta,smarter,train
HP1525301T2D_P23,ductal,smartseq2,validation
HP1525301T2D_O3,acinar,smartseq2,train
human3_lib4.final_cell_0531,delta,inDrop3,train
D71_16,acinar,celseq,test
Sample_295,alpha,smarter,train
HP1526901T2D_E19,delta,smartseq2,train
D29-5_31,alpha,celseq2,train
human4_lib1.final_cell_0131,ductal,inDrop4,train
human1_lib2.final_cell_0138,beta,inDrop1,train
human4_lib1.final_cell_0129,delta,inDrop4,validation
D29-1_75,beta,celseq2,train
human4_lib1.final_cell_0145,macrophage,inDrop4,train
human4_lib3.final_cell_0272,alpha,inDrop4,train
HP1508501T2D_B12,alpha,smartseq2,test
D2ex_11,ductal,celseq,validation
D1713_46,ductal,celseq,train
human3_lib4.final_cell_0612,alpha,inDrop3,train
human3_lib2.final_cell_0848,alpha,inDrop3,train
human3_lib1.final_cell_0262,activated_stellate,inDrop3,validation
human2_lib3.final_cell_0049,beta,inDrop2,train
human1_lib2.final_cell_0416,beta,inDrop1,train
HP1506401_B6,acinar,smartseq2,train
human4_lib1.final_cell_0056,beta,inDrop4,train
human3_lib3.final_cell_0599,alpha,inDrop3,train
human2_lib3.final_cell_0012,alpha,inDrop2,train
HP1526901T2D_F18,beta,smartseq2,test
D31-7_55,beta,celseq2,validation
Sample_1138,alpha,smarter,train
human1_lib2.final_cell_0505,endothelial,inDrop1,train
Sample_4,beta,smarter,validation
human4_lib1.final_cell_0226,beta,inDrop4,validation
human1_lib2.final_cell_0529,beta,inDrop1,train
D31-5_8,alpha,celseq2,train
Sample_1478,alpha,smarter,train
human3_lib2.final_cell_0605,quiescent_stellate,inDrop3,train
D17All2_47,alpha,celseq,train
HP1504901_J18,activated_stellate,smartseq2,test
HP1525301T2D_I4,alpha,smartseq2,train
D1713_64,ductal,celseq,train
HP1526901T2D_K10,alpha,smartseq2,validation
AZ_A6,alpha,smartseq2,train
human1_lib3.final_cell_0345,beta,inDrop1,train
D30-8_47,alpha,celseq2,train
HP1502401_G8,alpha,smartseq2,validation
human1_lib1.final_cell_0226,alpha,inDrop1,test
human1_lib2.final_cell_0035,beta,inDrop1,test
human2_lib3.final_cell_0366,beta,inDrop2,train
human3_lib1.final_cell_0171,alpha,inDrop3,train
D28-4_55,ductal,celseq2,train
human2_lib1.final_cell_0432,gamma,inDrop2,train
HP1504901_H19,gamma,smartseq2,train
D29-5_76,delta,celseq2,train
human2_lib3.final_cell_0266,beta,inDrop2,test
D29-4_93,alpha,celseq2,train
human1_lib3.final_cell_0553,beta,inDrop1,train
human3_lib2.final_cell_0653,alpha,inDrop3,validation
human3_lib3.final_cell_0571,alpha,inDrop3,train
Sample_1129,alpha,smarter,validation
D31-4_73,ductal,celseq2,train
Sample_316,alpha,smarter,train
human3_lib1.final_cell_0834,beta,inDrop3,train
human3_lib4.final_cell_0892,quiescent_stellate,inDrop3,validation
human3_lib4.final_cell_0492,alpha,inDrop3,test
human3_lib2.final_cell_0057,acinar,inDrop3,train
human3_lib1.final_cell_0489,macrophage,inDrop3,train
Sample_701,beta,smarter,train
human3_lib3.final_cell_0418,beta,inDrop3,train
7th-C79_S58,alpha,fluidigmc1,train
human3_lib3.final_cell_0026,acinar,inDrop3,validation
D71_49,beta,celseq,test
human1_lib2.final_cell_0539,endothelial,inDrop1,test
human1_lib1.final_cell_0486,delta,inDrop1,test
human3_lib2.final_cell_0083,acinar,inDrop3,validation
human3_lib4.final_cell_0516,alpha,inDrop3,train
human2_lib2.final_cell_0218,ductal,inDrop2,train
D29-5_91,beta,celseq2,test
2nd-C95_S95,beta,fluidigmc1,train
HP1506401_F22,beta,smartseq2,train
human1_lib1.final_cell_0039,beta,inDrop1,train
human2_lib2.final_cell_0386,activated_stellate,inDrop2,train
human2_lib1.final_cell_0310,alpha,inDrop2,train
human2_lib2.final_cell_0221,activated_stellate,inDrop2,test
D2ex_77,ductal,celseq,train
D31-3_30,gamma,celseq2,validation
Sample_1189,alpha,smarter,train
HP1509101_K5,endothelial,smartseq2,train
human3_lib4.final_cell_0833,acinar,inDrop3,train
human3_lib3.final_cell_0840,acinar,inDrop3,train
D30-6_77,ductal,celseq2,train
Sample_1452,alpha,smarter,train
human3_lib1.final_cell_0500,ductal,inDrop3,train
human1_lib2.final_cell_0528,quiescent_stellate,inDrop1,train
D17All2_95,beta,celseq,train
human3_lib1.final_cell_0774,endothelial,inDrop3,validation
D31-3_50,beta,celseq2,train
human1_lib2.final_cell_0034,delta,inDrop1,test
Sample_1464,alpha,smarter,test
HP1508501T2D_B24,ductal,smartseq2,validation
D29-1_62,alpha,celseq2,validation
HP1525301T2D_D2,ductal,smartseq2,test
Sample_638,gamma,smarter,train
human2_lib3.final_cell_0424,delta,inDrop2,validation
7th-C2_S2,beta,fluidigmc1,train
human3_lib2.final_cell_0363,alpha,inDrop3,train
HP1508501T2D_B20,beta,smartseq2,train
human2_lib3.final_cell_0022,beta,inDrop2,train
human2_lib2.final_cell_0334,beta,inDrop2,train
human3_lib4.final_cell_0634,alpha,inDrop3,test
human4_lib1.final_cell_0170,beta,inDrop4,train
HP1526901T2D_E16,acinar,smartseq2,validation
HP1504101T2D_M19,alpha,smartseq2,train
human2_lib1.final_cell_0017,beta,inDrop2,validation
Sample_306,alpha,smarter,test
human2_lib1.final_cell_0280,beta,inDrop2,train
Sample_1536,delta,smarter,train
human1_lib2.final_cell_0299,beta,inDrop1,test
human3_lib4.final_cell_0617,beta,inDrop3,train
human1_lib2.final_cell_0570,endothelial,inDrop1,train
human3_lib3.final_cell_0309,alpha,inDrop3,train
D72_72,ductal,celseq,train
human2_lib1.final_cell_0165,activated_stellate,inDrop2,test
human1_lib3.final_cell_0121,beta,inDrop1,train
D31-8_57,alpha,celseq2,validation
HP1507101_L18,alpha,smartseq2,train
human3_lib2.final_cell_0450,beta,inDrop3,test
human1_lib2.final_cell_0006,acinar,inDrop1,test
human3_lib2.final_cell_0290,alpha,inDrop3,validation
D31-4_11,alpha,celseq2,train
D31-7_28,alpha,celseq2,validation
human2_lib2.final_cell_0099,alpha,inDrop2,train
human3_lib3.final_cell_0442,activated_stellate,inDrop3,validation
human3_lib3.final_cell_0856,quiescent_stellate,inDrop3,train
HP1509101_P20,alpha,smartseq2,train
human3_lib1.final_cell_0619,acinar,inDrop3,train
human4_lib3.final_cell_0477,alpha,inDrop4,test
D31-8_12,alpha,celseq2,train
human2_lib3.final_cell_0340,alpha,inDrop2,test
D172444_78,alpha,celseq,test
human2_lib2.final_cell_0397,beta,inDrop2,train
HP1509101_J4,alpha,smartseq2,train
human3_lib1.final_cell_0219,beta,inDrop3,train
human2_lib3.final_cell_0221,alpha,inDrop2,train
D30-3_23,delta,celseq2,train
D3en2_90,acinar,celseq,validation
D10631_69,acinar,celseq,train
human2_lib3.final_cell_0103,ductal,inDrop2,train
human3_lib3.final_cell_0076,acinar,inDrop3,train
4th-C67_S40,beta,fluidigmc1,train
human3_lib1.final_cell_0337,alpha,inDrop3,validation
HP1506401_I6,acinar,smartseq2,train
9th-C52_S10,alpha,fluidigmc1,validation
Sample_410,alpha,smarter,train
human4_lib3.final_cell_0651,beta,inDrop4,train
D31-4_58,beta,celseq2,train
human3_lib1.final_cell_0279,acinar,inDrop3,validation
HP1504101T2D_G22,alpha,smartseq2,train
4th-C40_S79,alpha,fluidigmc1,train
human1_lib2.final_cell_0431,activated_stellate,inDrop1,test
human3_lib4.final_cell_0718,ductal,inDrop3,train
HP1504101T2D_N5,alpha,smartseq2,train
human1_lib2.final_cell_0190,beta,inDrop1,train
HP1504901_E2,endothelial,smartseq2,train
Sample_1354,alpha,smarter,test
human1_lib3.final_cell_0570,beta,inDrop1,train
human3_lib1.final_cell_0734,endothelial,inDrop3,test
HP1506401_C12,ductal,smartseq2,train
human3_lib4.final_cell_0140,beta,inDrop3,train
D31-4_46,delta,celseq2,train
HP1506401_K12,alpha,smartseq2,train
human4_lib1.final_cell_0419,delta,inDrop4,train
D30-2_80,alpha,celseq2,test
HP1509101_I22,alpha,smartseq2,train
human4_lib3.final_cell_0156,beta,inDrop4,train
human3_lib3.final_cell_0444,beta,inDrop3,train
human1_lib3.final_cell_0577,beta,inDrop1,test
HP1504901_O14,ductal,smartseq2,train
human4_lib3.final_cell_0120,alpha,inDrop4,test
human1_lib3.final_cell_0608,beta,inDrop1,train
human1_lib3.final_cell_0661,ductal,inDrop1,train
AZ_C8,alpha,smartseq2,test
Sample_282,alpha,smarter,train
D28-1_3,delta,celseq2,train
human3_lib3.final_cell_0245,alpha,inDrop3,train
D3en4_7,acinar,celseq,validation
D29-8_48,gamma,celseq2,train
human3_lib2.final_cell_0003,acinar,inDrop3,train
human2_lib3.final_cell_0329,alpha,inDrop2,validation
human4_lib3.final_cell_0495,alpha,inDrop4,train
human3_lib1.final_cell_0561,beta,inDrop3,train
human1_lib2.final_cell_0394,beta,inDrop1,train
human3_lib1.final_cell_0173,alpha,inDrop3,train
D31-1_89,alpha,celseq2,train
HP1502401_M11,alpha,smartseq2,train
D29-3_52,beta,celseq2,train
human1_lib2.final_cell_0374,activated_stellate,inDrop1,train
Sample_1370,alpha,smarter,train
human3_lib3.final_cell_0370,alpha,inDrop3,train
human1_lib3.final_cell_0679,ductal,inDrop1,train
human3_lib1.final_cell_0847,delta,inDrop3,train
HP1502401_O20,alpha,smartseq2,train
human4_lib3.final_cell_0251,beta,inDrop4,train
human3_lib2.final_cell_0033,acinar,inDrop3,train
human1_lib3.final_cell_0151,activated_stellate,inDrop1,validation
D30-8_88,delta,celseq2,train
human3_lib4.final_cell_0606,alpha,inDrop3,validation
human2_lib3.final_cell_0260,delta,inDrop2,train
human3_lib3.final_cell_0427,alpha,inDrop3,train
human3_lib3.final_cell_0075,acinar,inDrop3,train
human3_lib2.final_cell_0318,alpha,inDrop3,test
human2_lib1.final_cell_0420,alpha,inDrop2,train
D102_63,beta,celseq,train
HP1508501T2D_P6,alpha,smartseq2,train
human3_lib1.final_cell_0544,alpha,inDrop3,train
human1_lib2.final_cell_0005,acinar,inDrop1,train
human1_lib1.final_cell_0568,beta,inDrop1,test
human3_lib1.final_cell_0384,alpha,inDrop3,validation
D3en1_5,acinar,celseq,train
human3_lib3.final_cell_0721,alpha,inDrop3,test
human2_lib3.final_cell_0511,beta,inDrop2,train
human1_lib2.final_cell_0233,gamma,inDrop1,train
HP1507101_C5,alpha,smartseq2,train
Sample_532,alpha,smarter,test
human3_lib2.final_cell_0662,alpha,inDrop3,train
D29-6_65,alpha,celseq2,train
D28-4_75,acinar,celseq2,train
HP1525301T2D_L9,alpha,smartseq2,train
Sample_1522,delta,smarter,train
HP1508501T2D_M22,ductal,smartseq2,validation
Sample_929,beta,smarter,train
human2_lib2.final_cell_0128,alpha,inDrop2,train
human3_lib4.final_cell_0451,gamma,inDrop3,train
HP1508501T2D_M7,acinar,smartseq2,train
human3_lib3.final_cell_0258,acinar,inDrop3,train
D29-1_56,delta,celseq2,train
HP1525301T2D_K7,acinar,smartseq2,train
D28-4_50,ductal,celseq2,train
human3_lib4.final_cell_0144,delta,inDrop3,train
human3_lib3.final_cell_0307,delta,inDrop3,train
HP1509101_O17,ductal,smartseq2,test
human4_lib3.final_cell_0686,activated_stellate,inDrop4,test
HP1502401_L14,gamma,smartseq2,test
human1_lib3.final_cell_0461,delta,inDrop1,train
human3_lib1.final_cell_0274,delta,inDrop3,train
D30-6_84,activated_stellate,celseq2,train
human3_lib4.final_cell_0240,beta,inDrop3,train
human3_lib3.final_cell_0461,ductal,inDrop3,train
D3en1_56,acinar,celseq,train
Sample_1435,alpha,smarter,validation
D31-3_43,beta,celseq2,train
human1_lib3.final_cell_0463,epsilon,inDrop1,test
human1_lib3.final_cell_0698,quiescent_stellate,inDrop1,test
human3_lib1.final_cell_0144,alpha,inDrop3,train
AZ_D7,alpha,smartseq2,train
human3_lib3.final_cell_0231,acinar,inDrop3,validation
D17All2_66,ductal,celseq,train
D17TGFB_61,acinar,celseq,train
Sample_103,beta,smarter,test
D30-8_64,alpha,celseq2,train
human3_lib1.final_cell_0072,acinar,inDrop3,validation
human3_lib3.final_cell_0397,alpha,inDrop3,train
Sample_1529,delta,smarter,train
human1_lib1.final_cell_0416,beta,inDrop1,test
HP1525301T2D_E3,gamma,smartseq2,train
human2_lib3.final_cell_0237,ductal,inDrop2,validation
D31-6_93,ductal,celseq2,test
3rd-C26_S28,alpha,fluidigmc1,train
D2ex_24,acinar,celseq,test
human4_lib1.final_cell_0053,beta,inDrop4,test
human3_lib3.final_cell_0638,ductal,inDrop3,train
HP1508501T2D_J3,alpha,smartseq2,validation
human2_lib2.final_cell_0487,alpha,inDrop2,train
HP1504101T2D_M7,alpha,smartseq2,validation
D72_22,acinar,celseq,test
13th_C81_S160,beta,fluidigmc1,train
human2_lib1.final_cell_0077,alpha,inDrop2,validation
D31-5_85,beta,celseq2,test
6th-C77_S53,beta,fluidigmc1,train
HP1509101_J22,ductal,smartseq2,train
human1_lib1.final_cell_0364,beta,inDrop1,train
Sample_1072,alpha,smarter,test
Sample_1152,alpha,smarter,train
human1_lib3.final_cell_0060,beta,inDrop1,train
D30-2_17,acinar,celseq2,train
HP1504101T2D_M4,alpha,smartseq2,test
human1_lib3.final_cell_0696,beta,inDrop1,validation
human4_lib1.final_cell_0055,alpha,inDrop4,train
HP1525301T2D_I5,alpha,smartseq2,train
HP1504101T2D_N9,alpha,smartseq2,train
human4_lib3.final_cell_0657,beta,inDrop4,train
D29-3_45,delta,celseq2,train
human3_lib3.final_cell_0395,beta,inDrop3,train
Sample_266,alpha,smarter,validation
human3_lib3.final_cell_0524,ductal,inDrop3,train
human1_lib2.final_cell_0606,beta,inDrop1,train
HP1506401_F11,beta,smartseq2,test
D172444_9,alpha,celseq,validation
human3_lib4.final_cell_0861,alpha,inDrop3,train
human3_lib4.final_cell_0156,alpha,inDrop3,train
D74_45,activated_stellate,celseq,train
D31-2_30,acinar,celseq2,test
D17TGFB_72,ductal,celseq,train
human4_lib1.final_cell_0035,macrophage,inDrop4,test
D28-3_7,alpha,celseq2,validation
human3_lib1.final_cell_0161,acinar,inDrop3,train
human3_lib4.final_cell_0074,acinar,inDrop3,train
human4_lib3.final_cell_0478,beta,inDrop4,test
Sample_795,beta,smarter,train
D102_93,alpha,celseq,train
D71_68,quiescent_stellate,celseq,validation
Sample_980,alpha,smarter,train
human2_lib3.final_cell_0353,gamma,inDrop2,train
human3_lib4.final_cell_0658,alpha,inDrop3,train
Sample_1351,alpha,smarter,train
human3_lib3.final_cell_0512,alpha,inDrop3,validation
human3_lib3.final_cell_0377,beta,inDrop3,train
D29-2_49,macrophage,celseq2,train
human2_lib3.final_cell_0507,ductal,inDrop2,train
HP1508501T2D_C14,beta,smartseq2,train
human4_lib3.final_cell_0025,beta,inDrop4,train
human2_lib2.final_cell_0578,schwann,inDrop2,train
4th-C93_S88,beta,fluidigmc1,train
human3_lib3.final_cell_0380,beta,inDrop3,train
D74_92,beta,celseq,train
Sample_1165,alpha,smarter,train
D30-3_79,alpha,celseq2,train
Sample_1397,alpha,smarter,train
human2_lib2.final_cell_0293,alpha,inDrop2,train
D2ex_19,ductal,celseq,train
D3en4_73,ductal,celseq,train
human1_lib1.final_cell_0341,beta,inDrop1,train
4th-C4_S9,alpha,fluidigmc1,train
human3_lib2.final_cell_0025,acinar,inDrop3,test
human1_lib1.final_cell_0450,activated_stellate,inDrop1,train
human3_lib3.final_cell_0188,acinar,inDrop3,train
Sample_1570,gamma,smarter,train
human1_lib1.final_cell_0128,beta,inDrop1,train
human3_lib2.final_cell_0438,beta,inDrop3,train
Sample_1323,alpha,smarter,validation
human2_lib1.final_cell_0081,alpha,inDrop2,train
D30-2_23,alpha,celseq2,train
D30-7_15,ductal,celseq2,train
human3_lib1.final_cell_0771,acinar,inDrop3,train
HP1525301T2D_N24,alpha,smartseq2,train
9th-C85_S68,alpha,fluidigmc1,train
D73_26,ductal,celseq,train
human3_lib2.final_cell_0147,alpha,inDrop3,train
AZ_D12,gamma,smartseq2,train
human1_lib3.final_cell_0208,beta,inDrop1,train
human3_lib1.final_cell_0229,alpha,inDrop3,test
HP1525301T2D_K12,ductal,smartseq2,validation
D10631_92,ductal,celseq,train
HP1525301T2D_N20,ductal,smartseq2,test
D30-4_73,alpha,celseq2,train
human1_lib3.final_cell_0525,beta,inDrop1,validation
human1_lib1.final_cell_0535,beta,inDrop1,test
HP1509101_H22,alpha,smartseq2,test
human1_lib3.final_cell_0480,beta,inDrop1,train
9th-C88_S73,beta,fluidigmc1,train
Sample_408,alpha,smarter,validation
human3_lib1.final_cell_0205,alpha,inDrop3,train
D29-1_17,alpha,celseq2,train
HP1508501T2D_N9,ductal,smartseq2,train
D30-4_8,beta,celseq2,train
HP1507101_K24,alpha,smartseq2,train
D72_67,alpha,celseq,validation
D28-4_29,alpha,celseq2,train
Sample_322,alpha,smarter,train
human2_lib3.final_cell_0386,quiescent_stellate,inDrop2,train
human1_lib2.final_cell_0615,beta,inDrop1,train
human3_lib1.final_cell_0549,alpha,inDrop3,train
human2_lib2.final_cell_0569,beta,inDrop2,train
human1_lib2.final_cell_0112,acinar,inDrop1,train
D71_5,acinar,celseq,train
human3_lib4.final_cell_0562,alpha,inDrop3,train
